,title,studio,domestic_gross,foreign_gross,year,genre_ids,id,popularity,release_date,vote_average,vote_count
0,Harry Potter and the Deathly Hallows: Part 1,,,,,"[12, 14, 10751]",12444,33.533,2010-11-19,7.7,10788
1,How to Train Your Dragon,P/DW,217600000.0,277300000,2010.0,"[14, 12, 16, 10751]",10191,28.734,2010-03-26,7.7,7610
2,Iron Man 2,Par.,312400000.0,311500000,2010.0,"[12, 28, 878]",10138,28.515,2010-05-07,6.8,12368
3,Toy Story,,,,,"[16, 35, 10751]",862,28.005,1995-11-22,7.9,10174
4,Inception,WB,292600000.0,535700000,2010.0,"[28, 878, 12]",27205,27.92,2010-07-16,8.3,22186
5,Percy Jackson & the Olympians: The Lightning Thief,,,,,"[12, 14, 10751]",32657,26.691,2010-02-11,6.1,4229
6,Avatar,,,,,"[28, 12, 14, 878]",19995,26.526,2009-12-18,7.4,18676
7,Toy Story 3,BV,415000000.0,652000000,2010.0,"[16, 10751, 35]",10193,24.445,2010-06-17,7.7,8340
8,Despicable Me,Uni.,251500000.0,291600000,2010.0,"[16, 10751, 35]",20352,23.673,2010-07-09,7.2,10057
9,Megamind,P/DW,148400000.0,173500000,2010.0,"[16, 28, 35, 10751, 878]",38055,22.855,2010-11-04,6.8,3635
10,Toy Story 2,,,,,"[16, 35, 10751]",863,22.698,1999-11-24,7.5,7553
11,Alice in Wonderland,,,,,"[10751, 14, 12]",12155,22.02,2010-03-05,6.6,8713
12,The Expendables,LGF,103100000.0,171400000,2010.0,"[53, 12, 28]",27578,21.517,2010-08-03,6.1,4647
13,Tangled,BV,200800000.0,391000000,2010.0,"[16, 10751]",38757,21.511,2010-11-24,7.5,6407
14,Saw: The Final Chapter,,,,,"[27, 80]",41439,20.37,2010-10-28,6.0,1488
15,The Twilight Saga: Eclipse,Sum.,300500000.0,398000000,2010.0,"[12, 14, 18, 10749]",24021,20.34,2010-06-23,6.0,4909
16,The Book of Eli,WB,94800000.0,62300000,2010.0,"[28, 53, 878]",20504,18.985,2010-01-11,6.7,3495
17,LelleBelle,,,,,"[10402, 10749]",52371,18.586,2010-10-09,4.5,36
18,The Bourne Supremacy,,,,,"[28, 18, 53]",2502,18.199,2004-07-23,7.3,4367
19,Shutter Island,Par.,128000000.0,166800000,2010.0,"[18, 53, 9648]",11324,18.06,2010-02-18,8.1,12625
20,The Bourne Identity,,,,,"[28, 18, 9648, 53]",2501,17.935,2002-06-14,7.4,5406
21,Knight and Day,,,,,"[28, 35]",37834,17.713,2010-06-23,6.0,2494
22,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010.0,"[12, 10751, 14]",10140,17.382,2010-12-10,6.3,3196
23,Step Up 3D,,,,,"[18, 10749]",41233,17.174,2010-08-06,6.7,1160
24,The A-Team,Fox,77200000.0,100000000,2010.0,"[53, 28, 12, 35, 80]",34544,17.097,2010-06-11,6.3,2703
25,The King's Speech,Wein.,135500000.0,275400000,2010.0,"[18, 36]",45269,16.798,2010-09-06,7.7,5013
26,Bad Boys,,,,,"[28, 35, 80, 53]",9737,16.608,1995-04-07,6.6,2936
27,The Last Airbender,Par.,131800000.0,187900000,2010.0,"[28, 12, 10751, 14]",10196,16.595,2010-07-01,4.6,2143
28,Predators,Fox,52000000.0,75200000,2010.0,"[28, 878, 12, 53]",34851,16.216,2010-07-03,6.1,1979
29,The Social Network,Sony,97000000.0,128000000,2010.0,[18],37799,15.889,2010-10-01,7.2,6116
30,Undisputed III: Redemption,,,,,"[28, 53]",38234,15.886,2010-05-22,7.4,302
31,Apollo 13,,,,,"[18, 36]",568,15.855,1995-06-30,7.4,2821
32,Armageddon,,,,,"[28, 53, 878, 12]",95,15.799,1998-07-01,6.7,4267
33,The Bourne Ultimatum,,,,,"[28, 18, 9648, 53]",2503,15.62,2007-08-03,7.4,4440
34,Clash of the Titans,,,,,"[12, 14, 28]",18823,15.574,2010-04-02,5.7,3714
35,The Back-Up Plan,CBS,37500000.0,40000000,2010.0,"[35, 10749]",34806,15.49,2010-04-23,6.0,806
36,Robin Hood,Uni.,105300000.0,216400000,2010.0,"[28, 12, 18]",20662,15.444,2010-05-14,6.3,2569
37,Nanny McPhee and the Big Bang,,,,,"[35, 14, 10751]",35019,15.213,2010-08-20,6.1,953
38,Shrek Forever After,P/DW,238700000.0,513900000,2010.0,"[35, 12, 14, 16, 10751]",10192,15.041,2010-05-16,6.1,3843
39,Easy A,SGem,58400000.0,16600000,2010.0,[35],37735,14.69,2010-09-17,6.8,4168
40,The Sorcerer's Apprentice,BV,63200000.0,152100000,2010.0,"[14, 12, 28, 35, 18]",27022,14.463,2010-07-13,5.9,2879
